"StartIP","EndIP","Org","Customer"
"9.64.0.0","9.127.255.255","IBM",
"9.12.0.0","9.15.255.255","IBM",
"9.32.0.0","9.63.255.255","IBM",
"9.9.32.0","9.9.63.255","IBM",
"9.10.0.0","9.11.255.255","IBM",
"9.9.128.0","9.9.255.255","IBM",
"9.16.0.0","9.31.255.255","IBM",
"9.9.12.0","9.9.15.255","IBM",
"9.128.0.0","9.255.255.255","IBM",
"9.9.10.0","9.9.11.255","IBM",
"9.9.64.0","9.9.127.255","IBM",
"9.9.16.0","9.9.31.255","IBM",
"9.16.0.0","9.31.255.255","IBM",
"9.9.16.0","9.9.31.255","IBM",
"9.128.0.0","9.255.255.255","IBM",
"9.12.0.0","9.15.255.255","IBM",
"9.32.0.0","9.63.255.255","IBM",
"9.64.0.0","9.127.255.255","IBM",
"9.9.10.0","9.9.11.255","IBM",
"9.9.64.0","9.9.127.255","IBM",
"9.9.128.0","9.9.255.255","IBM",
"9.9.12.0","9.9.15.255","IBM",
"9.10.0.0","9.11.255.255","IBM",
"9.9.32.0","9.9.63.255","IBM",
"9.10.0.0","9.11.255.255","IBM",
"9.64.0.0","9.127.255.255","IBM",
"9.9.32.0","9.9.63.255","IBM",
"9.9.64.0","9.9.127.255","IBM",
"9.128.0.0","9.255.255.255","IBM",
"9.16.0.0","9.31.255.255","IBM",
"9.32.0.0","9.63.255.255","IBM",
"9.12.0.0","9.15.255.255","IBM",
"9.9.10.0","9.9.11.255","IBM",
"9.9.16.0","9.9.31.255","IBM",
"9.9.12.0","9.9.15.255","IBM",
"9.9.128.0","9.9.255.255","IBM",
"9.32.0.0","9.63.255.255","IBM",
"9.9.64.0","9.9.127.255","IBM",
"9.9.128.0","9.9.255.255","IBM",
"9.9.32.0","9.9.63.255","IBM",
"9.64.0.0","9.127.255.255","IBM",
"9.12.0.0","9.15.255.255","IBM",
"9.128.0.0","9.255.255.255","IBM",
"9.10.0.0","9.11.255.255","IBM",
"9.9.10.0","9.9.11.255","IBM",
"9.9.12.0","9.9.15.255","IBM",
"9.16.0.0","9.31.255.255","IBM",
"9.9.16.0","9.9.31.255","IBM",
"9.10.0.0","9.11.255.255","IBM",
"9.9.12.0","9.9.15.255","IBM",
"9.32.0.0","9.63.255.255","IBM",
"9.9.16.0","9.9.31.255","IBM",
"9.9.32.0","9.9.63.255","IBM",
"9.128.0.0","9.255.255.255","IBM",
"9.9.10.0","9.9.11.255","IBM",
"9.16.0.0","9.31.255.255","IBM",
"9.9.64.0","9.9.127.255","IBM",
"9.64.0.0","9.127.255.255","IBM",
"9.9.128.0","9.9.255.255","IBM",
"9.12.0.0","9.15.255.255","IBM",
"9.9.16.0","9.9.31.255","IBM",
"9.128.0.0","9.255.255.255","IBM",
"9.9.128.0","9.9.255.255","IBM",
"9.9.10.0","9.9.11.255","IBM",
"9.16.0.0","9.31.255.255","IBM",
"9.64.0.0","9.127.255.255","IBM",
"9.9.64.0","9.9.127.255","IBM",
"9.32.0.0","9.63.255.255","IBM",
"9.10.0.0","9.11.255.255","IBM",
"9.12.0.0","9.15.255.255","IBM",
"9.9.12.0","9.9.15.255","IBM",
"9.9.32.0","9.9.63.255","IBM",
"9.32.0.0","9.63.255.255","IBM",
"9.9.10.0","9.9.11.255","IBM",
"9.9.12.0","9.9.15.255","IBM",
"9.10.0.0","9.11.255.255","IBM",
"9.16.0.0","9.31.255.255","IBM",
"9.128.0.0","9.255.255.255","IBM",
"9.9.64.0","9.9.127.255","IBM",
"9.9.32.0","9.9.63.255","IBM",
"9.12.0.0","9.15.255.255","IBM",
"9.64.0.0","9.127.255.255","IBM",
"9.9.16.0","9.9.31.255","IBM",
"9.9.128.0","9.9.255.255","IBM",
"9.9.12.0","9.9.15.255","IBM",
"9.9.16.0","9.9.31.255","IBM",
"9.10.0.0","9.11.255.255","IBM",
"9.9.128.0","9.9.255.255","IBM",
"9.9.32.0","9.9.63.255","IBM",
"9.12.0.0","9.15.255.255","IBM",
"9.9.10.0","9.9.11.255","IBM",
"9.64.0.0","9.127.255.255","IBM",
"9.32.0.0","9.63.255.255","IBM",
"9.16.0.0","9.31.255.255","IBM",
"9.9.64.0","9.9.127.255","IBM",
"9.128.0.0","9.255.255.255","IBM",
"10.0.0.0","10.255.255.255","Internet Assigned Numbers Authority",
"11.0.0.0","11.255.255.255","DoD Network Information Center",
"12.0.0.0","12.0.0.255","ATT LINCROFT ORT",
"12.0.1.0","12.0.1.255","ATT LINCROFT ORT",
"12.0.2.0","12.0.2.255","ATT LINCROFT ORT",
"12.0.3.0","12.0.3.255","ATT LINCROFT ORT",
"12.0.4.0","12.0.4.255","ATT LINCROFT ORT",
"12.0.5.0","12.0.5.255","ATT LINCROFT ORT",
"12.0.6.0","12.0.6.255","ATT LINCROFT ORT",
"12.0.7.0","12.0.7.255","ATT LINCROFT ORT",
"12.0.8.0","12.0.15.255","ATT LINCROFT ORT",
"12.0.0.0","12.255.255.255","AT&T Services, Inc.",
"13.0.0.0","13.15.255.255","Xerox Corporation",
"13.16.0.0","13.23.255.255","Xerox Corporation",
"13.48.0.0","13.55.255.255","Amazon Technologies Inc.",
"13.56.0.0","13.59.255.255","Amazon Technologies Inc.",
"13.32.0.0","13.47.255.255","Amazon Technologies Inc.",
"13.24.0.0","13.31.255.255","Amazon Technologies Inc.",
"13.32.0.0","13.33.255.255","Amazon.com, Inc.",
"13.24.0.0","13.31.255.255","Amazon Technologies Inc.",
"13.48.0.0","13.55.255.255","Amazon Technologies Inc.",
"13.32.0.0","13.47.255.255","Amazon Technologies Inc.",
"13.56.0.0","13.59.255.255","Amazon Technologies Inc.",
"13.60.0.0","13.63.255.255","Xerox Corporation",
"13.64.0.0","13.95.255.255","Microsoft Corporation",
"13.96.0.0","13.103.255.255","Microsoft Corporation",
"13.104.0.0","13.107.255.255","Microsoft Corporation",
"13.108.0.0","13.111.255.255","Salesforce.com, Inc.",
"13.112.0.0","13.115.255.255","Amazon Data Services Japan",
"13.116.0.0","13.119.255.255","RIPE Network Coordination Centre",
"13.120.0.0","13.123.255.255","RIPE Network Coordination Centre",
"13.124.0.0","13.124.255.255","AWS Asia Pacific (Seoul) Region",
"13.125.0.0","13.125.255.255","AWS Asia Pacific (Seoul) Region",
"13.126.0.0","13.127.255.255","Amazon Data Services India",
"13.136.0.0","13.139.255.255","Xerox Corporation",
"13.128.0.0","13.135.255.255","Xerox Corporation",
"13.136.0.0","13.139.255.255","Xerox Corporation",
"13.128.0.0","13.135.255.255","Xerox Corporation",
"13.128.0.0","13.135.255.255","Xerox Corporation",
"13.136.0.0","13.139.255.255","Xerox Corporation",
"13.140.0.0","13.143.255.255","RIPE Network Coordination Centre",
"13.144.0.0","13.159.255.255","Xerox Corporation",
"13.160.0.0","13.167.255.255","Xerox Corporation",
"13.168.0.0","13.175.255.255","RIPE Network Coordination Centre",
"13.176.0.0","13.183.255.255","RIPE Network Coordination Centre",
"13.192.0.0","13.199.255.255","Amazon.com, Inc.",
"13.184.0.0","13.191.255.255","Amazon.com, Inc.",
"13.192.0.0","13.199.255.255","Amazon.com, Inc.",
"13.184.0.0","13.191.255.255","Amazon.com, Inc.",
"13.192.0.0","13.199.255.255","Amazon.com, Inc.",
"13.184.0.0","13.191.255.255","Amazon.com, Inc.",
"13.192.0.0","13.199.255.255","Amazon.com, Inc.",
"13.184.0.0","13.191.255.255","Amazon.com, Inc.",
"13.184.0.0","13.191.255.255","Amazon.com, Inc.",
"13.192.0.0","13.199.255.255","Amazon.com, Inc.",
"13.208.0.0","13.223.255.255","Amazon Technologies Inc.",
"13.224.0.0","13.239.255.255","Amazon Technologies Inc.",
"13.200.0.0","13.207.255.255","Amazon Technologies Inc.",
"13.208.0.0","13.208.255.255","Amazon Data Services Osaka",
"13.209.0.0","13.209.255.255","AWS Asia Pacific (Seoul) Region",
"13.210.0.0","13.211.255.255","Amazon Corporate Services Pty Ltd",
"13.212.0.0","13.213.255.255","Amazon Data Services Singapore",
"13.214.0.0","13.215.255.255","Amazon Data Services Singapore",
"13.224.0.0","13.239.255.255","Amazon Technologies Inc.",
"13.200.0.0","13.207.255.255","Amazon Technologies Inc.",
"13.208.0.0","13.223.255.255","Amazon Technologies Inc.",
"13.224.0.0","13.227.255.255","Amazon.com, Inc.",
"13.228.0.0","13.229.255.255","Amazon Data Services Singapore",
"13.230.0.0","13.231.255.255","Amazon Data Services Japan",
"13.232.0.0","13.235.255.255","Amazon Data Services India",
"13.236.0.0","13.239.255.255","Amazon Corporate Services Pty Ltd",
"13.240.0.0","13.243.255.255","RIPE Network Coordination Centre",
"13.244.0.0","13.245.255.255"," Amazon Data Services South Africa",
"13.246.0.0","13.246.255.255"," Amazon Data Services South Africa",
"13.247.0.0","13.247.255.255"," Amazon Data Services South Africa",
"13.248.0.0","13.251.255.255","Amazon Technologies Inc.",
"13.244.0.0","13.247.255.255","Amazon Technologies Inc.",
"13.244.0.0","13.247.255.255","Amazon Technologies Inc.",
"13.248.0.0","13.251.255.255","Amazon Technologies Inc.",
"13.252.0.0","13.255.255.255","Xerox Corporation",
"14.0.0.0","14.255.255.255","Asia Pacific Network Information Centre",
"15.0.0.0","15.63.255.255","HP Inc.",
"15.96.0.0","15.103.255.255","HP Inc.",
"15.64.0.0","15.95.255.255","HP Inc.",
"15.96.0.0","15.103.255.255","HP Inc.",
"15.64.0.0","15.95.255.255","HP Inc.",
"15.0.0.0","15.63.255.255","HP Inc.",
"15.64.0.0","15.95.255.255","HP Inc.",
"15.0.0.0","15.63.255.255","HP Inc.",
"15.96.0.0","15.103.255.255","HP Inc.",
"15.104.0.0","15.111.255.255","HEWLETT PACKARD ENTERPRISE COMPANY",
"15.112.0.0","15.127.255.255","HEWLETT PACKARD ENTERPRISE COMPANY",
"15.128.0.0","15.128.255.255","DXC US Latin America Corporation",
"15.129.0.0","15.129.255.255","DXC US Latin America Corporation",
"15.132.0.0","15.133.255.255","Amazon Technologies Inc.",
"15.130.0.0","15.131.255.255","Amazon Technologies Inc.",
"15.129.0.0","15.129.255.255","Amazon Technologies Inc.",
"15.130.0.0","15.131.255.255","Amazon Technologies Inc.",
"15.129.0.0","15.129.255.255","Amazon Technologies Inc.",
"15.132.0.0","15.133.255.255","Amazon Technologies Inc.",
"15.134.0.0","15.134.255.255","DXC US Latin America Corporation",
"15.135.0.0","15.135.255.255","DXC US Latin America Corporation",
"15.136.0.0","15.136.255.255","DXC US Latin America Corporation",
"15.136.0.0","15.137.255.255","Amazon Technologies Inc.",
"15.138.0.0","15.138.255.255","Amazon Technologies Inc.",
"15.139.0.0","15.139.255.255","DXC US Latin America Corporation",
"15.140.0.0","15.141.255.255","Amazon Technologies Inc.",
"15.142.0.0","15.142.255.255","Amazon Technologies Inc.",
"15.143.0.0","15.143.255.255","DXC US Latin America Corporation",
"15.144.0.0","15.147.255.255","Amazon Technologies Inc.",
"15.148.0.0","15.148.255.255","DXC US Latin America Corporation",
"15.149.0.0","15.149.255.255","Amazon Technologies Inc.",
"15.150.0.0","15.150.255.255","Amazon Technologies Inc.",
"15.151.0.0","15.151.255.255","DXC US Latin America Corporation",
"15.152.0.0","15.152.255.255","Amazon Data Services Osaka",
"15.158.0.0","15.158.255.255","Amazon Technologies Inc.",
"15.156.0.0","15.157.255.255","Amazon Technologies Inc.",
"15.152.0.0","15.155.255.255","Amazon Technologies Inc.",
"15.156.0.0","15.157.255.255","Amazon Data Services Canada",
"15.158.0.0","15.158.255.255","Amazon.com, Inc.",
"15.159.0.0","15.159.255.255","DXC US Latin America Corporation",
"15.160.0.0","15.160.255.255","Amazon Data Services Italy",
"15.161.0.0","15.161.255.255","Amazon Data Services Italy",
"15.162.0.0","15.162.255.255","Amazon Technologies Inc.",
"15.160.0.0","15.161.255.255","Amazon Technologies Inc.",
"15.162.0.0","15.162.255.255","Amazon Technologies Inc.",
"15.160.0.0","15.161.255.255","Amazon Technologies Inc.",
"15.160.0.0","15.161.255.255","Amazon Technologies Inc.",
"15.162.0.0","15.162.255.255","Amazon Technologies Inc.",
"15.163.0.0","15.163.255.255","DXC US Latin America Corporation",
"15.164.0.0","15.165.255.255","AWS Asia Pacific (Seoul) Region",
"15.164.0.0","15.167.255.255","Amazon Technologies Inc.",
"15.172.0.0","15.172.255.255","Amazon Technologies Inc.",
"15.168.0.0","15.171.255.255","Amazon Technologies Inc.",
"15.172.0.0","15.172.255.255","Amazon Technologies Inc.",
"15.168.0.0","15.171.255.255","Amazon Technologies Inc.",
"15.164.0.0","15.167.255.255","Amazon Technologies Inc.",
"15.168.0.0","15.168.255.255","Amazon Data Services Osaka",
"15.164.0.0","15.167.255.255","Amazon Technologies Inc.",
"15.172.0.0","15.172.255.255","Amazon Technologies Inc.",
"15.168.0.0","15.171.255.255","Amazon Technologies Inc.",
"15.172.0.0","15.172.255.255","Amazon Technologies Inc.",
"15.164.0.0","15.167.255.255","Amazon Technologies Inc.",
"15.168.0.0","15.171.255.255","Amazon Technologies Inc.",
"15.172.0.0","15.172.255.255","Amazon Technologies Inc.",
"15.168.0.0","15.171.255.255","Amazon Technologies Inc.",
"15.164.0.0","15.167.255.255","Amazon Technologies Inc.",
"15.168.0.0","15.168.255.255","Amazon Data Services Osaka",
"15.164.0.0","15.167.255.255","Amazon Technologies Inc.",
"15.172.0.0","15.172.255.255","Amazon Technologies Inc.",
"15.168.0.0","15.171.255.255","Amazon Technologies Inc.",
"15.164.0.0","15.167.255.255","Amazon Technologies Inc.",
"15.172.0.0","15.172.255.255","Amazon Technologies Inc.",
"15.168.0.0","15.171.255.255","Amazon Technologies Inc.",
"15.172.0.0","15.172.255.255","Amazon Technologies Inc.",
"15.168.0.0","15.171.255.255","Amazon Technologies Inc.",
"15.164.0.0","15.167.255.255","Amazon Technologies Inc.",
"15.168.0.0","15.168.255.255","Amazon Data Services Osaka",
"15.172.0.0","15.172.255.255","Amazon Technologies Inc.",
"15.164.0.0","15.167.255.255","Amazon Technologies Inc.",
"15.168.0.0","15.171.255.255","Amazon Technologies Inc.",
"15.168.0.0","15.171.255.255","Amazon Technologies Inc.",
"15.172.0.0","15.172.255.255","Amazon Technologies Inc.",
"15.164.0.0","15.167.255.255","Amazon Technologies Inc.",
"15.168.0.0","15.168.255.255","Amazon Data Services Osaka",
"15.164.0.0","15.167.255.255","Amazon Technologies Inc.",
"15.172.0.0","15.172.255.255","Amazon Technologies Inc.",
"15.168.0.0","15.171.255.255","Amazon Technologies Inc.",
"15.164.0.0","15.167.255.255","Amazon Technologies Inc.",
"15.172.0.0","15.172.255.255","Amazon Technologies Inc.",
"15.168.0.0","15.171.255.255","Amazon Technologies Inc.",
"15.164.0.0","15.167.255.255","Amazon Technologies Inc.",
"15.172.0.0","15.172.255.255","Amazon Technologies Inc.",
"15.168.0.0","15.171.255.255","Amazon Technologies Inc.",
"15.168.0.0","15.171.255.255","Amazon Technologies Inc.",
"15.164.0.0","15.167.255.255","Amazon Technologies Inc.",
"15.172.0.0","15.172.255.255","Amazon Technologies Inc.",
"15.173.0.0","15.173.255.255","DXC US Latin America Corporation",
"15.174.0.0","15.174.255.255","Amazon Technologies Inc.",
"15.175.0.0","15.175.255.255","DXC US Latin America Corporation",
"15.176.0.0","15.176.255.255","DXC US Latin America Corporation",
"15.177.0.0","15.177.255.255","Amazon Technologies Inc.",
"15.178.0.0","15.178.255.255","DXC US Latin America Corporation",
"15.180.0.0","15.183.255.255","Amazon Technologies Inc.",
"15.184.0.0","15.187.255.255","Amazon Technologies Inc.",
"15.179.0.0","15.179.255.255","Amazon Technologies Inc.",
"15.188.0.0","15.188.255.255","Amazon Technologies Inc.",
"15.189.0.0","15.189.255.255","DXC US Latin America Corporation",
"15.190.0.0","15.190.3.255","Amazon Data Services Israel",
"15.192.0.0","15.193.255.255","Amazon Technologies Inc.",
"15.190.0.0","15.191.255.255","Amazon Technologies Inc.",
"15.190.0.0","15.191.255.255","Amazon Technologies Inc.",
"15.192.0.0","15.193.255.255","Amazon Technologies Inc.",
"15.194.0.0","15.194.255.255","DXC US Latin America Corporation",
"15.195.0.0","15.195.255.255","DXC US Latin America Corporation",
"15.196.0.0","15.199.255.255","Amazon Technologies Inc.",
"15.200.0.0","15.200.255.255","Amazon Technologies Inc.",
"15.201.0.0","15.201.255.255","DXC US Latin America Corporation",
"15.202.0.0","15.202.255.255","Amazon Technologies Inc.",
"15.203.0.0","15.203.255.255","DXC US Latin America Corporation",
"15.204.0.0","15.204.0.127","OVH US LLC",
"15.204.0.0","15.204.127.255","OVH US LLC",
"15.204.128.0","15.204.128.15",,"zhang, xiong wei"
"15.204.128.16","15.204.128.19",,"CLiCK Consulting, Group"
"15.204.0.0","15.204.255.255","OVH US LLC",
"15.205.0.0","15.205.255.255","Amazon.com, Inc.",
"15.206.0.0","15.207.255.255","Amazon Data Services India",
"15.208.0.0","15.208.255.255","DXC US Latin America Corporation",
"15.209.0.0","15.209.255.255","Amazon Technologies Inc.",
"15.210.0.0","15.210.255.255","DXC US Latin America Corporation",
"15.211.0.0","15.211.255.255","DXC US Latin America Corporation",
"15.212.0.0","15.212.255.255","DXC US Latin America Corporation",
"15.212.0.0","15.213.255.255","Amazon Technologies Inc.",
"15.214.0.0","15.214.255.255","Amazon Technologies Inc.",
"15.215.0.0","15.215.255.255","DXC US Latin America Corporation",
"15.216.0.0","15.216.255.255","DXC US Latin America Corporation",
"15.217.0.0","15.217.255.255","DXC US Latin America Corporation",
"15.218.0.0","15.218.255.255","DXC US Latin America Corporation",
"15.219.0.0","15.219.255.255","DXC US Latin America Corporation",
"15.220.0.0","15.220.15.255","Amazon.com, Inc.",
"15.220.16.0","15.220.31.255","Amazon.com, Inc.",
"15.220.0.0","15.223.255.255","Amazon Technologies Inc.",
"15.224.0.0","15.227.255.255","DXC US Latin America Corporation",
"15.228.0.0","15.229.255.255","Amazon Data Services Brazil",
"15.228.0.0","15.231.255.255","Amazon Technologies Inc.",
"15.232.0.0","15.232.255.255","DXC US Latin America Corporation",
"15.233.0.0","15.233.255.255","DXC US Latin America Corporation",
"15.234.0.0","15.234.255.255","Amazon Technologies Inc.",
"15.235.0.0","15.235.0.255","OVH Hosting, Inc.",
"15.235.0.0","15.235.255.255","OVH Hosting, Inc.",
"15.236.0.0","15.237.255.255","Amazon Data Services France",
"15.236.0.0","15.239.255.255","Amazon Technologies Inc.",
"15.240.0.0","15.240.255.255","DXC US Latin America Corporation",
"15.241.0.0","15.241.255.255","DXC US Latin America Corporation",
"15.242.0.0","15.242.255.255","Amazon Technologies Inc.",
"15.243.0.0","15.243.255.255","DXC US Latin America Corporation",
"15.244.0.0","15.247.255.255","Amazon Technologies Inc.",
"15.248.0.0","15.248.255.255","Amazon Technologies Inc.",
"15.249.0.0","15.249.255.255","DXC US Latin America Corporation",
"15.250.0.0","15.251.255.255","Amazon Technologies Inc.",
"15.252.0.0","15.252.255.255","DXC US Latin America Corporation",
"15.253.0.0","15.253.255.255","Amazon.com, Inc.",
"15.254.0.0","15.254.255.255","Amazon.com, Inc.",
"15.254.0.0","15.255.255.255","Amazon Technologies Inc.",
"15.253.0.0","15.253.255.255","Amazon Technologies Inc.",
"15.254.0.0","15.254.255.255","Amazon.com, Inc.",
"15.254.0.0","15.255.255.255","Amazon Technologies Inc.",
"15.253.0.0","15.253.255.255","Amazon Technologies Inc.",
"15.254.0.0","15.254.255.255","Amazon.com, Inc.",
"15.253.0.0","15.253.255.255","Amazon Technologies Inc.",
"15.254.0.0","15.255.255.255","Amazon Technologies Inc.",
"16.8.0.0","16.11.255.255","HEWLETT PACKARD ENTERPRISE COMPANY",
"16.0.0.0","16.7.255.255","HEWLETT PACKARD ENTERPRISE COMPANY",
"16.0.0.0","16.7.255.255","HEWLETT PACKARD ENTERPRISE COMPANY",
"16.8.0.0","16.11.255.255","HEWLETT PACKARD ENTERPRISE COMPANY",
"16.12.0.0","16.12.255.255","Amazon.com, Inc.",
"16.13.0.0","16.13.255.255","HEWLETT PACKARD ENTERPRISE COMPANY",
"16.14.0.0","16.14.255.255","Charter Communications",
"16.16.0.0","16.16.255.255","Amazon.com, Inc.",
"16.15.0.0","16.15.255.255","Amazon.com, Inc.",
"16.16.0.0","16.16.255.255","Amazon Data Services Sweden",
"16.17.0.0","16.17.255.255","HEWLETT PACKARD ENTERPRISE COMPANY",
"16.18.0.0","16.18.255.255","Amazon.com, Inc.",
"16.19.0.0","16.19.255.255","HEWLETT PACKARD ENTERPRISE COMPANY",
"16.20.0.0","16.23.255.255","Amazon.com, Inc.",
"16.24.0.0","16.25.255.255","Amazon.com, Inc.",
"16.26.0.0","16.26.255.255","Amazon.com, Inc.",
"16.27.0.0","16.27.255.255","Amazon.com, Inc.",
"16.28.0.0","16.28.255.255","Amazon.com, Inc.",
"16.29.0.0","16.29.255.255","Amazon.com, Inc.",
"16.30.0.0","16.30.255.255","Amazon.com, Inc.",
"16.31.0.0","16.31.255.255","Amazon.com, Inc.",
"16.32.0.0","16.47.255.255","HEWLETT PACKARD ENTERPRISE COMPANY",
"16.48.0.0","16.51.255.255","Amazon.com, Inc.",
"16.52.0.0","16.52.255.255","Amazon.com, Inc.",
"16.53.0.0","16.53.255.255","Amazon.com, Inc.",
"16.54.0.0","16.54.255.255","Amazon.com, Inc.",
"16.55.0.0","16.55.255.255","Amazon.com, Inc.",
"16.56.0.0","16.56.255.255","Amazon.com, Inc.",
"16.60.0.0","16.60.255.255","HEWLETT PACKARD ENTERPRISE COMPANY",
"16.58.0.0","16.59.255.255","HEWLETT PACKARD ENTERPRISE COMPANY",
"16.57.0.0","16.57.255.255","HEWLETT PACKARD ENTERPRISE COMPANY",
"16.58.0.0","16.59.255.255","HEWLETT PACKARD ENTERPRISE COMPANY",
"16.60.0.0","16.60.255.255","HEWLETT PACKARD ENTERPRISE COMPANY",
"16.57.0.0","16.57.255.255","HEWLETT PACKARD ENTERPRISE COMPANY",
"16.58.0.0","16.59.255.255","HEWLETT PACKARD ENTERPRISE COMPANY",
"16.57.0.0","16.57.255.255","HEWLETT PACKARD ENTERPRISE COMPANY",
"16.60.0.0","16.60.255.255","HEWLETT PACKARD ENTERPRISE COMPANY",
"16.62.0.0","16.63.255.255","Amazon.com, Inc.",
"16.61.0.0","16.61.255.255","Amazon.com, Inc.",
"16.62.0.0","16.63.255.255","Amazon Data Services Switzerland",
"16.64.0.0","16.64.255.255","Amazon.com, Inc.",
"16.65.0.0","16.65.255.255","HEWLETT PACKARD ENTERPRISE COMPANY",
"16.66.0.0","16.67.255.255","HEWLETT PACKARD ENTERPRISE COMPANY",
"16.68.0.0","16.68.255.255","HEWLETT PACKARD ENTERPRISE COMPANY",
"16.70.0.0","16.70.255.255","Amazon.com, Inc.",
"16.69.0.0","16.69.255.255","Amazon.com, Inc.",
"16.69.0.0","16.69.255.255","Amazon.com, Inc.",
"16.70.0.0","16.70.255.255","Amazon.com, Inc.",
"16.71.0.0","16.71.255.255","Amazon.com, Inc.",
"16.72.0.0","16.73.255.255","HEWLETT PACKARD ENTERPRISE COMPANY",
"16.74.0.0","16.74.255.255","Amazon.com, Inc.",
"16.75.0.0","16.75.255.255","Amazon.com, Inc.",
"16.76.0.0","16.77.255.255","HEWLETT PACKARD ENTERPRISE COMPANY",
"16.78.0.0","16.78.255.255","HEWLETT PACKARD ENTERPRISE COMPANY",
"16.79.0.0","16.79.255.255","Amazon.com, Inc.",
"16.84.0.0","16.85.255.255","HEWLETT PACKARD ENTERPRISE COMPANY",
"16.80.0.0","16.83.255.255","HEWLETT PACKARD ENTERPRISE COMPANY",
"16.84.0.0","16.85.255.255","HEWLETT PACKARD ENTERPRISE COMPANY",
"16.80.0.0","16.83.255.255","HEWLETT PACKARD ENTERPRISE COMPANY",
"16.84.0.0","16.85.255.255","HEWLETT PACKARD ENTERPRISE COMPANY",
"16.80.0.0","16.83.255.255","HEWLETT PACKARD ENTERPRISE COMPANY",
"16.80.0.0","16.83.255.255","HEWLETT PACKARD ENTERPRISE COMPANY",
"16.84.0.0","16.85.255.255","HEWLETT PACKARD ENTERPRISE COMPANY",
"16.86.0.0","16.87.255.255","Amazon.com, Inc.",
"16.88.0.0","16.88.255.255","Amazon.com, Inc.",
"16.90.0.0","16.90.255.255","Amazon.com, Inc.",
"16.89.0.0","16.89.255.255","Amazon.com, Inc.",
"16.89.0.0","16.89.255.255","Amazon.com, Inc.",
"16.90.0.0","16.90.255.255","Amazon.com, Inc.",
"16.91.0.0","16.91.255.255","Amazon.com, Inc.",
"16.92.0.0","16.92.255.255","Amazon.com, Inc.",
"16.93.0.0","16.93.255.255","HEWLETT PACKARD ENTERPRISE COMPANY",
"16.94.0.0","16.95.255.255","Amazon.com, Inc.",
"16.96.0.0","16.97.255.255","HEWLETT PACKARD ENTERPRISE COMPANY",
"16.98.0.0","16.98.255.255","Charter Communications",
"16.99.0.0","16.99.255.255","Amazon.com, Inc.",
"16.100.0.0","16.100.255.255","HEWLETT PACKARD ENTERPRISE COMPANY",
"16.102.0.0","16.102.255.255","Amazon.com, Inc.",
